CompChangeID,EmployeeID,EffectiveDate,PreviousSalary,NewSalary,ChangePercent,ChangeReason,Currency
131,E100131,2020-09-03,,54000,,New Hire,USD
132,E100132,2016-12-30,,117500,,New Hire,USD
133,E100133,2018-06-07,,188000,,New Hire,USD
134,E100134,2019-11-09,,36000,,New Hire,USD
135,E100135,2017-05-17,,74000,,New Hire,USD
136,E100136,2018-05-22,,73500,,New Hire,USD
137,E100137,2018-11-17,,119000,,New Hire,USD
138,E100138,2019-04-30,,58000,,New Hire,USD
139,E100139,2018-09-17,,96500,,New Hire,USD
140,E100140,2019-04-20,,71000,,New Hire,USD
141,E100141,2020-07-25,,120000,,New Hire,USD
142,E100142,2018-12-24,,29500,,New Hire,USD
143,E100143,2020-01-17,,23500,,New Hire,USD
144,E100144,2020-08-07,,71500,,New Hire,USD
145,E100145,2020-06-03,,93500,,New Hire,USD
146,E100146,2013-03-14,,101500,,New Hire,USD
147,E100147,2020-07-14,,84000,,New Hire,USD
148,E100148,2018-09-09,,117500,,New Hire,USD
149,E100149,2019-08-18,,59500,,New Hire,USD
150,E100150,2017-07-06,,64500,,New Hire,USD
151,E100151,2019-05-21,,125000,,New Hire,USD
152,E100152,2020-01-09,,42500,,New Hire,USD
153,E100153,2015-06-19,,122000,,New Hire,USD
154,E100154,2020-03-16,,51500,,New Hire,USD
155,E100155,2020-09-09,,65500,,New Hire,USD
156,E100156,2020-11-06,,54000,,New Hire,USD
157,E100157,2019-09-24,,47500,,New Hire,USD
158,E100158,2013-09-11,,51500,,New Hire,USD
159,E100159,2017-04-21,,180500,,New Hire,USD
160,E100160,2019-10-30,,28500,,New Hire,USD
161,E100161,2019-04-27,,49000,,New Hire,USD
162,E100162,2020-02-21,,117500,,New Hire,USD
163,E100163,2017-08-08,,126000,,New Hire,USD
164,E100164,2018-11-29,,49500,,New Hire,USD
165,E100165,2018-03-26,,59500,,New Hire,USD
166,E100166,2020-10-10,,77000,,New Hire,USD
167,E100167,2018-11-26,,76000,,New Hire,USD
168,E100168,2020-02-05,,61500,,New Hire,USD
169,E100169,2020-09-19,,26000,,New Hire,USD
170,E100170,2019-08-25,,34000,,New Hire,USD
171,E100171,2020-11-27,,58000,,New Hire,USD
172,E100172,2019-06-11,,62500,,New Hire,USD
173,E100173,2020-12-25,,24000,,New Hire,USD
174,E100174,2017-08-20,,152000,,New Hire,USD
175,E100175,2020-03-14,,54000,,New Hire,USD
176,E100176,2020-12-30,,117500,,New Hire,USD
177,E100177,2019-03-13,,141000,,New Hire,USD
178,E100178,2018-04-19,,54000,,New Hire,USD
179,E100179,2018-12-31,,177500,,New Hire,USD
180,E100180,2019-12-09,,115500,,New Hire,USD
181,E100181,2020-04-20,,106500,,New Hire,USD
182,E100182,2020-10-26,,167500,,New Hire,USD
183,E100183,2017-12-10,,141500,,New Hire,USD
184,E100184,2017-09-15,,39000,,New Hire,USD
185,E100185,2013-09-23,,155000,,New Hire,USD
186,E100186,2019-03-04,,74000,,New Hire,USD
187,E100187,2016-10-27,,113000,,New Hire,USD
188,E100188,2014-08-06,,128500,,New Hire,USD
189,E100189,2017-05-23,,129000,,New Hire,USD
190,E100190,2016-05-18,,30000,,New Hire,USD
191,E100191,2019-08-19,,62500,,New Hire,USD
192,E100192,2019-05-17,,22000,,New Hire,USD
193,E100193,2020-08-16,,51000,,New Hire,USD
194,E100194,2016-01-25,,184000,,New Hire,USD
195,E100195,2013-06-28,,123000,,New Hire,USD
196,E100196,2016-02-22,,33000,,New Hire,USD
197,E100197,2019-08-09,,111000,,New Hire,USD
198,E100198,2020-05-26,,44000,,New Hire,USD
199,E100199,2019-08-08,,69500,,New Hire,USD
200,E100200,2017-01-05,,103500,,New Hire,USD
201,E100201,2018-09-04,,31500,,New Hire,USD
202,E100202,2019-09-13,,26500,,New Hire,USD
203,E100203,2018-01-15,,71000,,New Hire,USD
204,E100204,2020-03-15,,161500,,New Hire,USD
205,E100205,2020-03-19,,75500,,New Hire,USD
206,E100206,2020-05-26,,175000,,New Hire,USD
207,E100207,2020-10-14,,89000,,New Hire,USD
208,E100208,2019-09-19,,113500,,New Hire,USD
209,E100209,2019-07-14,,134000,,New Hire,USD
210,E100210,2020-11-25,,35000,,New Hire,USD
211,E100211,2020-12-28,,40500,,New Hire,USD
212,E100212,2018-11-22,,42500,,New Hire,USD
213,E100213,2020-04-18,,66500,,New Hire,USD
214,E100214,2020-12-31,,108000,,New Hire,USD
215,E100215,2020-09-20,,31500,,New Hire,USD
216,E100216,2015-08-17,,69000,,New Hire,USD
217,E100217,2020-12-23,,57000,,New Hire,USD
218,E100218,2019-10-08,,133500,,New Hire,USD
219,E100219,2015-07-16,,133000,,New Hire,USD
220,E100220,2020-08-31,,74000,,New Hire,USD
221,E100221,2018-07-08,,77500,,New Hire,USD
222,E100222,2020-12-01,,38000,,New Hire,USD
223,E100223,2020-03-05,,63500,,New Hire,USD
224,E100224,2017-01-21,,100000,,New Hire,USD
225,E100225,2019-03-18,,64500,,New Hire,USD
226,E100226,2019-02-24,,84000,,New Hire,USD
227,E100227,2015-09-20,,148500,,New Hire,USD
228,E100228,2013-10-22,,49000,,New Hire,USD
229,E100229,2019-06-06,,74000,,New Hire,USD
230,E100230,2019-09-25,,31000,,New Hire,USD
231,E100231,2018-06-11,,126500,,New Hire,USD
232,E100232,2013-07-09,,78000,,New Hire,USD
233,E100233,2018-08-22,,75000,,New Hire,USD
234,E100234,2020-09-29,,133000,,New Hire,USD
235,E100235,2020-11-21,,35500,,New Hire,USD
236,E100236,2019-08-01,,42500,,New Hire,USD
237,E100237,2019-06-20,,74500,,New Hire,USD
238,E100238,2019-05-22,,18000,,New Hire,USD
239,E100239,2017-12-19,,95000,,New Hire,USD
240,E100240,2018-01-12,,34500,,New Hire,USD
241,E100241,2019-10-02,,81500,,New Hire,USD
242,E100242,2018-08-03,,33000,,New Hire,USD
243,E100243,2020-11-23,,62500,,New Hire,USD
244,E100244,2019-10-27,,73500,,New Hire,USD
245,E100245,2018-12-11,,46500,,New Hire,USD
246,E100246,2020-04-04,,67000,,New Hire,USD
247,E100247,2020-02-06,,33000,,New Hire,USD
248,E100248,2019-05-24,,125000,,New Hire,USD
249,E100249,2017-10-08,,146500,,New Hire,USD
250,E100250,2013-05-28,,164000,,New Hire,USD
251,E100251,2020-11-08,,39000,,New Hire,USD
252,E100252,2019-04-11,,62500,,New Hire,USD
253,E100253,2019-02-08,,21000,,New Hire,USD
254,E100254,2016-02-23,,165000,,New Hire,USD
255,E100255,2019-06-24,,120500,,New Hire,USD
256,E100256,2020-06-27,,17500,,New Hire,USD
257,E100257,2018-04-08,,60500,,New Hire,USD
258,E100258,2015-10-04,,68000,,New Hire,USD
259,E100259,2020-05-18,,111500,,New Hire,USD
260,E100260,2020-06-07,,93500,,New Hire,USD
261,E100261,2019-07-25,,98000,,New Hire,USD
262,E100262,2020-01-12,,142000,,New Hire,USD
263,E100263,2020-10-07,,67500,,New Hire,USD
264,E100264,2020-01-18,,66000,,New Hire,USD
265,E100265,2019-01-14,,38500,,New Hire,USD
266,E100266,2018-05-27,,143000,,New Hire,USD
267,E100267,2021-01-01,,53000,,New Hire,USD
268,E100268,2018-08-11,,46500,,New Hire,USD
269,E100269,2019-12-26,,25500,,New Hire,USD
270,E100270,2019-01-28,,73000,,New Hire,USD
271,E100271,2019-06-02,,94500,,New Hire,USD
272,E100272,2017-05-20,,86000,,New Hire,USD
273,E100273,2019-12-14,,21500,,New Hire,USD
274,E100274,2013-07-01,,68000,,New Hire,USD
275,E100275,2020-09-10,,66000,,New Hire,USD
276,E100276,2017-01-25,,70000,,New Hire,USD
277,E100277,2018-11-13,,18000,,New Hire,USD
278,E100278,2019-12-22,,87000,,New Hire,USD
279,E100279,2020-04-15,,40500,,New Hire,USD
280,E100280,2020-04-30,,33000,,New Hire,USD
281,E100281,2020-10-30,,64000,,New Hire,USD
282,E100282,2018-07-11,,114500,,New Hire,USD
283,E100283,2020-08-19,,33500,,New Hire,USD
284,E100284,2020-05-12,,71000,,New Hire,USD
285,E100285,2020-12-26,,66500,,New Hire,USD
286,E100286,2018-11-30,,115000,,New Hire,USD
287,E100287,2020-05-17,,43000,,New Hire,USD
288,E100288,2017-03-12,,63500,,New Hire,USD
289,E100289,2019-12-26,,79500,,New Hire,USD
290,E100290,2020-05-17,,126500,,New Hire,USD
291,E100291,2019-09-18,,38000,,New Hire,USD
292,E100292,2020-05-04,,45500,,New Hire,USD
293,E100293,2020-03-10,,40000,,New Hire,USD
294,E100294,2020-02-19,,60500,,New Hire,USD
295,E100295,2018-07-09,,34000,,New Hire,USD
296,E100296,2020-09-23,,45000,,New Hire,USD
297,E100297,2020-08-09,,70500,,New Hire,USD
298,E100298,2020-06-01,,46500,,New Hire,USD
299,E100299,2018-05-04,,35000,,New Hire,USD
300,E100300,2020-08-31,,133500,,New Hire,USD
301,E100301,2017-07-17,,63500,,New Hire,USD
302,E100302,2017-03-19,,159500,,New Hire,USD
303,E100303,2019-08-16,,42500,,New Hire,USD
304,E100304,2017-06-03,,96000,,New Hire,USD
305,E100305,2019-12-28,,33500,,New Hire,USD
306,E100306,2020-11-07,,183500,,New Hire,USD
307,E100307,2018-11-15,,125000,,New Hire,USD
308,E100308,2019-02-07,,101500,,New Hire,USD
309,E100309,2020-06-21,,32500,,New Hire,USD
310,E100310,2020-04-21,,74500,,New Hire,USD
311,E100311,2020-06-17,,128000,,New Hire,USD
312,E100312,2019-10-04,,54000,,New Hire,USD
313,E100313,2016-03-08,,55500,,New Hire,USD
314,E100314,2017-05-22,,137500,,New Hire,USD
315,E100315,2020-03-06,,130500,,New Hire,USD
316,E100316,2013-11-26,,137000,,New Hire,USD
317,E100317,2020-01-31,,128000,,New Hire,USD
318,E100318,2019-12-23,,189000,,New Hire,USD
319,E100319,2018-10-13,,149500,,New Hire,USD
320,E100320,2018-05-11,,31500,,New Hire,USD
321,E100321,2020-04-16,,180500,,New Hire,USD
322,E100322,2020-06-25,,33500,,New Hire,USD
323,E100323,2015-12-30,,67500,,New Hire,USD
324,E100324,2014-11-21,,45000,,New Hire,USD
325,E100325,2013-01-19,,143500,,New Hire,USD
326,E100326,2020-01-15,,71000,,New Hire,USD
327,E100327,2020-10-24,,68500,,New Hire,USD
328,E100328,2019-07-14,,49000,,New Hire,USD
329,E100329,2019-02-15,,34500,,New Hire,USD
330,E100330,2019-07-11,,67000,,New Hire,USD
331,E100331,2019-09-03,,60500,,New Hire,USD
332,E100332,2018-08-15,,51000,,New Hire,USD
333,E100333,2015-03-30,,158000,,New Hire,USD
334,E100334,2020-07-31,,70500,,New Hire,USD
335,E100335,2017-07-17,,28500,,New Hire,USD
336,E100336,2020-06-29,,18500,,New Hire,USD
337,E100337,2019-01-02,,72000,,New Hire,USD
338,E100338,2019-06-22,,47000,,New Hire,USD
339,E100339,2020-05-29,,21000,,New Hire,USD
340,E100340,2020-09-16,,80500,,New Hire,USD
341,E100341,2017-02-22,,49000,,New Hire,USD
342,E100342,2016-11-09,,68500,,New Hire,USD
343,E100343,2018-04-23,,100000,,New Hire,USD
344,E100344,2020-07-20,,68000,,New Hire,USD
345,E100345,2020-05-19,,79500,,New Hire,USD
346,E100346,2020-06-24,,71500,,New Hire,USD
347,E100347,2020-04-22,,46000,,New Hire,USD
348,E100348,2019-10-02,,59500,,New Hire,USD
349,E100349,2017-03-21,,82500,,New Hire,USD
350,E100350,2013-04-23,,83500,,New Hire,USD
351,E100351,2020-08-02,,112500,,New Hire,USD
352,E100352,2018-11-29,,60500,,New Hire,USD
353,E100353,2017-05-26,,119500,,New Hire,USD
354,E100354,2019-12-08,,65500,,New Hire,USD
355,E100355,2020-08-13,,123500,,New Hire,USD
356,E100356,2020-10-29,,69500,,New Hire,USD
357,E100357,2020-10-04,,73500,,New Hire,USD
358,E100358,2019-10-23,,21500,,New Hire,USD
359,E100359,2016-03-22,,85000,,New Hire,USD
360,E100360,2017-03-05,,34500,,New Hire,USD
361,E100361,2016-11-29,,87500,,New Hire,USD
362,E100362,2019-11-24,,70500,,New Hire,USD
363,E100363,2013-01-10,,61500,,New Hire,USD
364,E100364,2020-08-14,,50500,,New Hire,USD
365,E100365,2018-08-15,,112000,,New Hire,USD
366,E100366,2019-01-29,,24500,,New Hire,USD
367,E100367,2020-04-18,,72000,,New Hire,USD
368,E100368,2020-06-10,,80500,,New Hire,USD
369,E100369,2017-12-07,,34000,,New Hire,USD
370,E100370,2020-08-20,,35500,,New Hire,USD
371,E100371,2018-05-18,,42500,,New Hire,USD
372,E100372,2017-02-26,,50000,,New Hire,USD
373,E100373,2020-10-25,,142000,,New Hire,USD
374,E100374,2019-10-11,,41500,,New Hire,USD
375,E100375,2017-09-05,,18000,,New Hire,USD
376,E100376,2016-11-16,,87000,,New Hire,USD
377,E100377,2017-10-13,,65000,,New Hire,USD
378,E100378,2020-11-26,,71000,,New Hire,USD
379,E100379,2020-05-06,,33000,,New Hire,USD
380,E100380,2019-02-10,,42500,,New Hire,USD
381,E100381,2020-03-28,,58000,,New Hire,USD
382,E100382,2020-06-18,,74000,,New Hire,USD
383,E100383,2020-01-30,,43000,,New Hire,USD
384,E100384,2020-01-13,,44500,,New Hire,USD
385,E100385,2019-04-03,,51500,,New Hire,USD
386,E100386,2019-05-03,,94000,,New Hire,USD
387,E100387,2018-06-25,,43500,,New Hire,USD
388,E100388,2018-02-14,,79000,,New Hire,USD
389,E100389,2020-10-02,,57500,,New Hire,USD
390,E100390,2019-06-28,,74500,,New Hire,USD
391,E100391,2020-01-03,,52000,,New Hire,USD
392,E100392,2017-10-21,,105500,,New Hire,USD
393,E100393,2020-05-14,,45000,,New Hire,USD
394,E100394,2019-09-07,,29500,,New Hire,USD
395,E100395,2017-04-22,,112500,,New Hire,USD
396,E100396,2018-02-01,,52000,,New Hire,USD
397,E100397,2019-04-18,,44000,,New Hire,USD
398,E100398,2014-10-31,,149000,,New Hire,USD
399,E100399,2020-09-17,,81000,,New Hire,USD
400,E100400,2019-07-24,,81000,,New Hire,USD
401,E100401,2018-12-28,,96500,,New Hire,USD
402,E100402,2018-10-22,,101000,,New Hire,USD
403,E100403,2019-02-20,,40500,,New Hire,USD
404,E100404,2020-07-22,,36000,,New Hire,USD
405,E100405,2020-08-28,,53000,,New Hire,USD
406,E100406,2020-11-26,,34500,,New Hire,USD
407,E100407,2020-08-05,,43000,,New Hire,USD
408,E100408,2020-12-29,,68000,,New Hire,USD
409,E100409,2020-10-10,,138500,,New Hire,USD
410,E100410,2019-04-06,,51000,,New Hire,USD
411,E100411,2016-06-10,,99000,,New Hire,USD
412,E100412,2017-06-01,,113500,,New Hire,USD
413,E100413,2013-12-16,,56000,,New Hire,USD
414,E100414,2019-02-13,,44000,,New Hire,USD
415,E100415,2017-09-02,,104000,,New Hire,USD
416,E100416,2019-10-23,,53000,,New Hire,USD
417,E100417,2020-07-31,,63500,,New Hire,USD
418,E100418,2019-02-10,,127000,,New Hire,USD
419,E100419,2020-04-25,,33500,,New Hire,USD
420,E100420,2019-05-26,,42500,,New Hire,USD
421,E100421,2015-01-24,,48500,,New Hire,USD
422,E100422,2020-04-04,,94000,,New Hire,USD
423,E100423,2019-06-24,,75000,,New Hire,USD
424,E100424,2020-03-17,,37500,,New Hire,USD
425,E100425,2019-06-17,,39000,,New Hire,USD
426,E100426,2019-12-27,,30500,,New Hire,USD
427,E100427,2019-07-16,,39500,,New Hire,USD
428,E100428,2018-06-05,,118500,,New Hire,USD
429,E100429,2017-06-09,,127500,,New Hire,USD
430,E100430,2020-09-10,,30000,,New Hire,USD
431,E100431,2019-08-02,,75000,,New Hire,USD
432,E100432,2017-02-14,,143500,,New Hire,USD
433,E100433,2019-11-08,,89500,,New Hire,USD
434,E100434,2019-11-27,,43500,,New Hire,USD
435,E100435,2019-09-23,,81500,,New Hire,USD
436,E100436,2020-07-10,,76500,,New Hire,USD
437,E100437,2019-01-04,,111000,,New Hire,USD
438,E100438,2020-08-07,,41500,,New Hire,USD
439,E100439,2019-12-21,,68000,,New Hire,USD
440,E100440,2016-07-31,,18500,,New Hire,USD
441,E100441,2019-04-21,,51000,,New Hire,USD
442,E100442,2020-03-12,,34000,,New Hire,USD
443,E100443,2019-07-06,,37000,,New Hire,USD
444,E100444,2020-11-04,,126500,,New Hire,USD
445,E100445,2020-08-06,,91000,,New Hire,USD
446,E100446,2020-08-15,,68000,,New Hire,USD
447,E100447,2019-04-06,,36500,,New Hire,USD
448,E100448,2020-09-01,,88000,,New Hire,USD
449,E100449,2020-08-28,,55500,,New Hire,USD
450,E100450,2017-04-19,,63500,,New Hire,USD
451,E100451,2020-01-06,,86000,,New Hire,USD
452,E100452,2020-11-16,,64000,,New Hire,USD
453,E100453,2020-12-28,,55000,,New Hire,USD
454,E100454,2020-07-11,,16500,,New Hire,USD
455,E100455,2019-01-01,,76500,,New Hire,USD
456,E100456,2019-09-17,,52500,,New Hire,USD
457,E100457,2016-11-07,,33500,,New Hire,USD
458,E100458,2018-07-16,,26500,,New Hire,USD
459,E100459,2020-03-30,,46500,,New Hire,USD
460,E100460,2020-06-30,,44000,,New Hire,USD
461,E100461,2018-02-11,,88500,,New Hire,USD
462,E100462,2019-01-02,,46000,,New Hire,USD
463,E100463,2020-07-24,,59000,,New Hire,USD
464,E100464,2016-09-16,,118000,,New Hire,USD
465,E100465,2020-03-18,,62000,,New Hire,USD
466,E100466,2019-01-13,,50000,,New Hire,USD
467,E100467,2020-07-09,,79500,,New Hire,USD
468,E100468,2015-05-17,,65000,,New Hire,USD
469,E100469,2019-07-18,,54000,,New Hire,USD
470,E100470,2020-05-26,,42500,,New Hire,USD
471,E100471,2020-11-25,,35500,,New Hire,USD
472,E100472,2020-10-03,,108000,,New Hire,USD
473,E100473,2017-11-19,,87000,,New Hire,USD
474,E100474,2019-05-31,,55000,,New Hire,USD
475,E100475,2019-02-13,,66000,,New Hire,USD
476,E100476,2020-07-04,,69500,,New Hire,USD
477,E100477,2018-11-23,,47500,,New Hire,USD
478,E100478,2020-12-04,,42500,,New Hire,USD
479,E100479,2017-12-10,,161000,,New Hire,USD
480,E100480,2017-06-26,,142000,,New Hire,USD
481,E100481,2013-02-03,,31000,,New Hire,USD
482,E100482,2018-01-08,,50500,,New Hire,USD
483,E100483,2019-01-29,,184000,,New Hire,USD
484,E100484,2018-08-15,,51000,,New Hire,USD
485,E100485,2017-06-27,,137500,,New Hire,USD
486,E100486,2017-02-24,,127000,,New Hire,USD
487,E100487,2020-07-14,,56500,,New Hire,USD
488,E100488,2019-07-18,,27000,,New Hire,USD
489,E100489,2020-04-10,,45500,,New Hire,USD
490,E100490,2016-01-30,,47000,,New Hire,USD
491,E100491,2015-04-01,,129500,,New Hire,USD
492,E100492,2019-02-07,,50000,,New Hire,USD
493,E100493,2013-07-12,,155000,,New Hire,USD
494,E100494,2013-03-22,,62500,,New Hire,USD
495,E100495,2018-12-21,,56500,,New Hire,USD
496,E100496,2017-08-27,,48000,,New Hire,USD
497,E100497,2020-05-04,,58000,,New Hire,USD
498,E100498,2019-01-29,,61000,,New Hire,USD
499,E100499,2014-01-09,,85000,,New Hire,USD
500,E100500,2019-12-06,,69000,,New Hire,USD
501,E100501,2019-09-17,,63000,,New Hire,USD
502,E100502,2018-01-16,,28000,,New Hire,USD
503,E100503,2020-01-24,,101000,,New Hire,USD
504,E100504,2019-11-30,,147000,,New Hire,USD
505,E100505,2017-09-11,,67500,,New Hire,USD
506,E100506,2018-05-28,,150000,,New Hire,USD
507,E100507,2020-06-11,,148500,,New Hire,USD
508,E100508,2018-10-22,,68500,,New Hire,USD
509,E100509,2020-05-07,,73000,,New Hire,USD
510,E100510,2019-02-09,,100000,,New Hire,USD
511,E100511,2019-04-09,,79000,,New Hire,USD
512,E100512,2017-02-16,,149500,,New Hire,USD
513,E100513,2017-01-15,,174500,,New Hire,USD
514,E100514,2020-12-12,,60500,,New Hire,USD
515,E100515,2015-08-30,,118500,,New Hire,USD
516,E100516,2018-10-01,,69500,,New Hire,USD
517,E100517,2020-04-26,,95500,,New Hire,USD
518,E100518,2018-07-24,,184000,,New Hire,USD
519,E100519,2020-10-07,,85000,,New Hire,USD
520,E100520,2020-07-18,,80000,,New Hire,USD
521,E100521,2020-02-19,,114000,,New Hire,USD
522,E100522,2020-09-12,,57500,,New Hire,USD
523,E100523,2018-11-20,,188500,,New Hire,USD
524,E100524,2020-08-08,,113000,,New Hire,USD
525,E100525,2019-06-24,,172500,,New Hire,USD
526,E100526,2019-11-11,,135500,,New Hire,USD
527,E100527,2016-01-11,,75500,,New Hire,USD
528,E100528,2020-08-30,,64500,,New Hire,USD
529,E100529,2020-08-08,,68000,,New Hire,USD
530,E100530,2019-09-01,,171000,,New Hire,USD
531,E100531,2020-05-22,,177000,,New Hire,USD
532,E100532,2014-12-13,,176500,,New Hire,USD
533,E100533,2018-10-19,,105000,,New Hire,USD
534,E100534,2020-10-02,,34000,,New Hire,USD
