RequisitionID,DepartmentKey,JobKey,LocationKey,OpenDate,CloseDate,RequisitionStatus,ApplicantsCount,ScreenedCount,InterviewedCount,OfferedCount,HiredCount,TimeToFillDays,SourceChannel
R500054,1,1002,2,2021-08-11,2021-09-01,Filled,70,24,10,1,1,21,Job Board
R500055,2,1011,2,2021-07-02,2021-09-01,Filled,37,15,4,1,1,61,Employee Referral
R500056,3,1017,3,2021-08-28,2021-09-15,Filled,89,35,14,2,1,18,Career Fair
R500057,4,1020,5,2021-08-11,2021-09-08,Filled,86,42,11,1,1,28,LinkedIn
R500058,4,1023,1,2021-09-02,2021-09-23,Filled,62,28,10,2,1,21,Employee Referral
R500059,5,1028,1,2021-07-20,2021-09-08,Filled,34,17,6,1,1,50,Employee Referral
R500060,5,1027,1,2021-08-14,2021-09-18,Filled,31,16,7,1,1,35,Employee Referral
R500061,5,1028,5,2021-08-29,2021-09-17,Filled,79,40,13,4,1,19,Company Website
R500062,6,1031,1,2021-08-16,2021-09-15,Filled,35,17,6,1,1,30,Company Website
R500063,7,1035,4,2021-07-14,2021-09-01,Filled,30,15,5,1,1,49,University Recruiting
R500064,7,1038,2,2021-07-16,2021-09-14,Filled,61,24,6,1,1,60,Recruiting Agency
R500065,10,1053,1,2021-07-31,2021-09-04,Filled,44,23,8,2,1,35,Career Fair
R500066,3,1014,3,2021-09-18,2021-10-20,Filled,42,20,7,2,1,32,LinkedIn
R500067,5,1025,2,2021-10-04,2021-10-16,Filled,94,51,18,5,1,12,Job Board
R500068,5,1024,1,2021-09-14,2021-10-01,Filled,45,22,8,1,1,17,LinkedIn
R500069,7,1037,1,2021-10-12,2021-10-26,Filled,39,19,7,2,1,14,Company Website
R500070,1,1007,3,2021-09-25,2021-11-04,Filled,77,41,12,2,1,40,Company Website
R500071,3,1016,2,2021-10-11,2021-11-07,Filled,15,5,1,1,1,27,Employee Referral
R500072,3,1013,5,2021-11-11,2021-11-28,Filled,17,6,1,1,1,17,University Recruiting
R500073,5,1028,3,2021-10-19,2021-11-16,Filled,73,29,10,1,1,28,Recruiting Agency
R500074,5,1024,2,2021-11-09,2021-11-28,Filled,65,25,10,1,1,19,Employee Referral
R500075,5,1025,4,2021-11-06,2021-11-16,Filled,41,18,5,1,1,10,LinkedIn
R500076,5,1026,3,2021-09-24,2021-11-06,Filled,77,36,10,2,1,43,Employee Referral
R500077,5,1026,1,2021-10-22,2021-11-04,Filled,20,10,3,1,1,13,LinkedIn
R500078,1,1006,1,2021-10-31,2021-12-25,Filled,67,30,11,2,1,55,Employee Referral
R500079,2,1009,6,2021-11-02,2021-12-01,Filled,48,26,10,1,1,29,LinkedIn
R500080,3,1017,5,2021-11-19,2021-12-13,Filled,66,25,7,1,1,24,Company Website
R500081,3,1013,1,2021-12-14,2021-12-24,Filled,23,11,3,1,1,10,Company Website
R500082,3,1013,5,2021-11-24,2021-12-27,Filled,78,41,14,3,1,33,Employee Referral
R500083,5,1025,6,2021-11-15,2021-12-03,Filled,17,7,2,1,1,18,LinkedIn
R500084,5,1024,1,2021-11-08,2021-12-14,Filled,14,6,1,1,1,36,Company Website
R500085,5,1026,4,2021-12-04,2021-12-14,Filled,58,30,9,2,1,10,Job Board
R500086,5,1028,2,2021-11-28,2021-12-20,Filled,52,24,8,2,1,22,Job Board
R500087,6,1031,3,2021-11-13,2021-12-18,Filled,24,8,3,1,1,35,University Recruiting
R500088,6,1032,1,2021-11-01,2021-12-03,Filled,31,12,4,1,1,32,Recruiting Agency
R500089,7,1034,4,2021-11-27,2021-12-27,Filled,61,31,8,2,1,30,LinkedIn
R500090,10,1050,6,2021-10-08,2021-12-02,Filled,45,22,9,1,1,55,University Recruiting
R500091,1,1000,1,2021-12-27,2022-01-07,Filled,76,41,10,1,1,11,LinkedIn
R500092,1,1007,6,2021-12-02,2022-01-20,Filled,28,12,5,1,1,49,LinkedIn
R500093,2,1009,2,2021-12-12,2022-01-08,Filled,59,29,11,2,1,27,Employee Referral
R500094,2,1008,6,2021-12-17,2022-01-07,Filled,74,26,8,2,1,21,Career Fair
R500095,2,1012,1,2021-11-30,2022-01-15,Filled,71,33,12,3,1,46,Company Website
R500096,3,1014,3,2021-12-15,2022-01-17,Filled,43,18,6,1,1,33,Job Board
R500097,3,1017,1,2021-11-17,2022-01-06,Filled,45,18,5,1,1,50,Job Board
R500098,3,1013,1,2021-11-29,2022-01-13,Filled,44,19,6,1,1,45,Recruiting Agency
R500099,3,1016,5,2021-12-07,2022-01-10,Filled,54,25,8,2,1,34,University Recruiting
R500100,3,1018,1,2022-01-04,2022-01-14,Filled,66,36,9,1,1,10,Company Website
R500101,4,1019,4,2021-12-09,2022-01-26,Filled,46,18,7,2,1,48,Job Board
R500102,4,1020,4,2021-12-08,2022-01-05,Filled,35,12,4,1,1,28,Recruiting Agency
R500103,4,1019,4,2021-12-19,2022-01-17,Filled,8,2,0,1,1,29,Employee Referral
R500104,4,1021,4,2021-12-31,2022-01-16,Filled,23,11,3,1,1,16,Company Website
R500105,5,1026,2,2021-12-15,2022-01-12,Filled,20,7,2,1,1,28,Employee Referral
R500106,5,1028,4,2021-11-29,2022-01-12,Filled,31,11,4,1,1,44,Recruiting Agency
R500107,5,1025,5,2021-11-30,2022-01-14,Filled,30,12,5,1,1,45,Job Board
R500108,5,1025,1,2021-12-01,2022-01-12,Filled,31,13,3,1,1,42,Company Website
R500109,5,1025,2,2021-11-21,2022-01-14,Filled,53,20,6,1,1,54,LinkedIn
R500110,6,1029,2,2021-12-31,2022-01-23,Filled,49,21,5,1,1,23,Employee Referral
R500111,10,1049,5,2021-12-21,2022-01-15,Filled,53,28,7,1,1,25,Employee Referral
R500112,10,1052,2,2021-12-23,2022-01-18,Filled,48,26,10,3,1,26,Employee Referral
R500113,10,1049,1,2021-12-05,2022-01-25,Filled,8,3,0,1,1,51,Career Fair
R500114,1,1000,5,2021-12-22,2022-02-06,Filled,12,5,2,1,1,46,University Recruiting
R500115,1,1007,1,2021-12-01,2022-02-05,Filled,52,22,5,1,1,66,LinkedIn
R500116,1,1003,1,2021-12-29,2022-02-07,Filled,39,20,8,2,1,40,Job Board
R500117,3,1016,2,2022-01-07,2022-02-28,Filled,47,24,9,2,1,52,LinkedIn
R500118,3,1016,2,2022-01-05,2022-02-07,Filled,47,25,8,2,1,33,Recruiting Agency
R500119,3,1015,4,2021-12-22,2022-02-02,Filled,41,15,5,1,1,42,Career Fair
R500120,5,1025,3,2022-01-07,2022-02-14,Filled,54,29,9,1,1,38,Recruiting Agency
R500121,5,1026,4,2021-12-30,2022-02-08,Filled,64,32,13,2,1,40,Recruiting Agency
R500122,3,1018,4,2022-02-02,2022-03-03,Filled,72,35,12,1,1,29,Employee Referral
R500123,3,1013,1,2022-02-07,2022-03-15,Filled,64,30,10,1,1,36,Employee Referral
R500124,3,1016,2,2022-02-07,2022-03-28,Filled,23,12,3,1,1,49,Company Website
R500125,3,1016,2,2022-02-14,2022-03-20,Filled,28,10,2,1,1,34,Career Fair
R500126,5,1027,1,2022-02-15,2022-03-04,Filled,71,26,11,2,1,17,LinkedIn
R500127,1,1000,2,2022-03-31,2022-04-23,Filled,52,18,5,1,1,23,Job Board
R500128,2,1008,1,2022-02-23,2022-04-13,Filled,8,3,1,1,1,49,LinkedIn
R500129,3,1016,5,2022-04-18,2022-04-28,Filled,30,11,3,1,1,10,Job Board
R500130,3,1013,4,2022-02-23,2022-04-11,Filled,45,24,7,1,1,47,Job Board
R500131,5,1024,1,2022-03-30,2022-04-24,Filled,8,3,1,1,1,25,University Recruiting
R500132,5,1028,5,2022-03-16,2022-04-13,Filled,54,26,11,2,1,28,Recruiting Agency
R500133,1,1004,2,2022-04-18,2022-05-19,Filled,92,41,11,2,1,31,Employee Referral
R500134,1,1000,1,2022-03-13,2022-05-10,Filled,85,46,19,6,1,58,Company Website
R500135,3,1018,1,2022-04-28,2022-05-20,Filled,47,20,5,1,1,22,Employee Referral
R500136,5,1026,1,2022-04-20,2022-05-23,Filled,62,27,10,3,1,33,LinkedIn
R500137,7,1034,2,2022-04-06,2022-05-08,Filled,10,5,2,1,1,32,Company Website
R500138,8,1042,3,2022-04-18,2022-05-24,Filled,47,22,8,2,1,36,LinkedIn
R500139,9,1045,1,2022-04-15,2022-05-18,Filled,22,8,3,1,1,33,Career Fair
R500140,1,1005,4,2022-05-12,2022-06-05,Filled,31,15,4,1,1,24,LinkedIn
R500141,3,1018,5,2022-05-17,2022-06-18,Filled,87,40,17,5,1,32,LinkedIn
R500142,3,1018,5,2022-04-20,2022-06-20,Filled,74,28,8,1,1,61,Employee Referral
R500143,3,1014,3,2022-05-06,2022-06-24,Filled,19,10,4,1,1,49,Job Board
R500144,3,1013,5,2022-05-09,2022-06-08,Filled,37,15,5,1,1,30,Career Fair
R500145,5,1027,1,2022-05-07,2022-06-14,Filled,52,25,8,2,1,38,Job Board
R500146,5,1025,1,2022-05-14,2022-06-14,Filled,51,18,7,1,1,31,Employee Referral
R500147,9,1046,5,2022-06-12,2022-06-23,Filled,65,27,6,1,1,11,University Recruiting
R500148,9,1045,3,2022-05-18,2022-06-10,Filled,36,16,4,1,1,23,Employee Referral
R500149,9,1045,1,2022-05-30,2022-06-27,Filled,8,4,1,1,1,28,Job Board
R500150,1,1006,5,2022-05-22,2022-07-13,Filled,24,11,3,1,1,52,Recruiting Agency
R500151,3,1018,4,2022-06-13,2022-07-09,Filled,38,16,6,1,1,26,LinkedIn
R500152,3,1013,4,2022-05-26,2022-07-06,Filled,67,26,11,3,1,41,Recruiting Agency
R500153,4,1022,5,2022-05-27,2022-07-09,Filled,38,16,7,1,1,43,Company Website
R500154,4,1021,5,2022-06-24,2022-07-04,Filled,8,3,1,1,1,10,Recruiting Agency
R500155,4,1019,3,2022-06-10,2022-07-25,Filled,36,15,6,1,1,45,Employee Referral
R500156,5,1028,2,2022-05-27,2022-07-02,Filled,28,11,3,1,1,36,University Recruiting
R500157,5,1024,1,2022-06-24,2022-07-19,Filled,71,26,9,2,1,25,University Recruiting
R500158,5,1026,5,2022-06-09,2022-07-18,Filled,62,31,10,1,1,39,Employee Referral
R500159,9,1044,1,2022-05-24,2022-07-08,Filled,40,16,6,1,1,45,Career Fair
R500160,1,1002,1,2022-07-16,2022-08-04,Filled,31,11,4,1,1,19,LinkedIn
R500161,1,1001,5,2022-07-04,2022-08-06,Filled,56,27,7,1,1,33,Career Fair
R500162,2,1009,5,2022-07-23,2022-08-28,Filled,53,19,7,1,1,36,Job Board
R500163,2,1008,3,2022-07-01,2022-08-03,Filled,101,39,11,2,1,33,University Recruiting
R500164,3,1013,3,2022-06-27,2022-08-10,Filled,22,7,2,1,1,44,LinkedIn
R500165,3,1014,4,2022-06-26,2022-08-10,Filled,8,3,0,1,1,45,Employee Referral
R500166,3,1017,3,2022-07-12,2022-08-16,Filled,14,7,2,1,1,35,Recruiting Agency
R500167,3,1015,5,2022-07-03,2022-08-15,Filled,47,19,6,1,1,43,University Recruiting
R500168,5,1024,3,2022-07-13,2022-08-15,Filled,36,17,4,1,1,33,LinkedIn
R500169,9,1045,5,2022-07-07,2022-08-14,Filled,57,22,8,2,1,38,University Recruiting
R500170,1,1007,2,2022-08-11,2022-09-24,Filled,63,29,12,2,1,44,Employee Referral
R500171,1,1004,5,2022-08-24,2022-09-24,Filled,51,21,7,1,1,31,Employee Referral
R500172,2,1011,6,2022-08-01,2022-09-04,Filled,48,21,7,2,1,34,Company Website
R500173,3,1017,1,2022-08-16,2022-09-27,Filled,48,17,7,1,1,42,LinkedIn
R500174,3,1017,6,2022-07-26,2022-09-01,Filled,34,13,4,1,1,37,University Recruiting
R500175,3,1017,4,2022-07-17,2022-09-20,Filled,41,20,8,2,1,65,Employee Referral
R500176,3,1018,2,2022-07-25,2022-09-02,Filled,41,22,5,1,1,39,Recruiting Agency
R500177,4,1020,1,2022-07-30,2022-09-03,Filled,18,9,2,1,1,35,Job Board
R500178,5,1024,1,2022-08-23,2022-09-22,Filled,35,14,6,1,1,30,Recruiting Agency
R500179,5,1027,1,2022-08-04,2022-09-15,Filled,54,26,10,1,1,42,University Recruiting
R500180,6,1030,1,2022-08-13,2022-09-09,Filled,40,21,5,1,1,27,LinkedIn
R500181,8,1043,4,2022-08-19,2022-09-01,Filled,43,15,4,1,1,13,Career Fair
R500182,9,1046,5,2022-08-19,2022-09-18,Filled,21,10,3,1,1,30,LinkedIn
R500183,10,1053,4,2022-07-19,2022-09-06,Filled,85,31,12,2,1,49,Career Fair
R500184,1,1007,6,2022-09-17,2022-10-27,Filled,18,8,2,1,1,40,University Recruiting
R500185,1,1001,2,2022-09-08,2022-10-13,Filled,18,7,2,1,1,35,Company Website
R500186,3,1018,1,2022-09-17,2022-10-15,Filled,54,19,4,1,1,28,Company Website
R500187,3,1013,1,2022-09-24,2022-10-24,Filled,20,10,3,1,1,30,LinkedIn
R500188,5,1024,3,2022-08-18,2022-10-06,Filled,77,33,13,3,1,49,Job Board
R500189,5,1024,4,2022-10-07,2022-10-27,Filled,59,24,10,2,1,20,Career Fair
R500190,9,1046,4,2022-08-20,2022-10-06,Filled,65,24,7,2,1,47,Recruiting Agency
R500191,1,1001,1,2022-09-11,2022-11-03,Filled,49,20,5,1,1,53,Company Website
R500192,3,1014,1,2022-10-24,2022-11-06,Filled,41,21,7,2,1,13,Recruiting Agency
R500193,4,1019,1,2022-10-26,2022-11-20,Filled,44,20,8,2,1,25,Recruiting Agency
R500194,5,1027,2,2022-10-03,2022-11-14,Filled,46,24,10,2,1,42,University Recruiting
R500195,5,1025,5,2022-10-18,2022-11-14,Filled,48,19,5,1,1,27,Company Website
R500196,10,1050,2,2022-11-06,2022-11-26,Filled,47,19,4,1,1,20,Recruiting Agency
R500197,10,1049,1,2022-10-04,2022-11-18,Filled,36,12,4,1,1,45,Job Board
R500198,1,1000,4,2022-11-16,2022-12-25,Filled,69,37,11,1,1,39,Job Board
R500199,1,1006,1,2022-10-27,2022-12-21,Filled,79,32,13,2,1,55,Company Website
R500200,2,1008,3,2022-10-29,2022-12-07,Filled,44,16,6,1,1,39,LinkedIn
R500201,3,1014,2,2022-11-24,2022-12-27,Filled,99,51,16,3,1,33,LinkedIn
R500202,5,1028,5,2022-11-29,2022-12-28,Filled,55,24,10,3,1,29,Employee Referral
R500203,9,1048,1,2022-10-28,2022-12-11,Filled,54,24,7,2,1,44,Employee Referral
R500204,10,1051,1,2022-11-01,2022-12-26,Filled,37,13,5,1,1,55,Job Board
R500205,1,1002,5,2022-12-28,2023-01-24,Filled,65,29,10,2,1,27,Employee Referral
R500206,1,1005,1,2022-12-05,2023-01-07,Filled,42,21,5,1,1,33,University Recruiting
R500207,1,1004,4,2022-12-23,2023-01-20,Filled,49,25,10,3,1,28,Company Website
R500208,1,1005,1,2022-12-28,2023-01-15,Filled,61,29,10,2,1,18,University Recruiting
R500209,2,1008,6,2022-12-23,2023-01-16,Filled,32,13,5,1,1,24,LinkedIn
R500210,3,1013,2,2022-12-13,2023-01-24,Filled,23,11,2,1,1,42,Career Fair
R500211,3,1018,2,2022-12-07,2023-01-04,Filled,68,29,11,2,1,28,Job Board
R500212,3,1018,5,2023-01-06,2023-01-28,Filled,47,25,7,1,1,22,Company Website
R500213,5,1025,5,2022-12-02,2023-01-06,Filled,8,3,1,1,1,35,Career Fair
R500214,5,1024,1,2022-12-19,2023-01-19,Filled,30,11,3,1,1,31,University Recruiting
R500215,5,1027,2,2023-01-02,2023-01-25,Filled,34,16,5,1,1,23,Recruiting Agency
R500216,6,1032,4,2022-12-24,2023-01-04,Filled,70,36,9,2,1,11,Job Board
R500217,8,1040,1,2022-12-29,2023-01-14,Filled,43,23,9,1,1,16,Recruiting Agency
R500218,10,1050,4,2022-12-03,2023-01-16,Filled,48,25,6,1,1,44,LinkedIn
R500219,1,1002,6,2023-01-15,2023-02-27,Filled,40,21,7,1,1,43,LinkedIn
R500220,1,1003,2,2023-01-03,2023-02-20,Filled,76,34,12,2,1,48,LinkedIn
R500221,1,1001,4,2023-01-25,2023-02-11,Filled,50,25,6,1,1,17,Recruiting Agency
R500222,1,1002,3,2023-01-03,2023-02-19,Filled,27,13,4,1,1,47,Job Board
R500223,2,1008,2,2022-12-31,2023-02-22,Filled,68,30,13,2,1,53,Employee Referral
R500224,3,1018,5,2022-12-29,2023-02-03,Filled,44,19,4,1,1,36,Career Fair
R500225,3,1013,1,2022-12-19,2023-02-16,Filled,57,26,7,1,1,59,LinkedIn
R500226,3,1014,6,2023-01-15,2023-02-21,Filled,36,17,4,1,1,37,University Recruiting
R500227,5,1026,2,2023-01-26,2023-02-28,Filled,62,29,7,1,1,33,Employee Referral
R500228,5,1024,6,2022-12-13,2023-02-11,Filled,13,5,1,1,1,60,Job Board
R500229,10,1051,1,2023-01-12,2023-02-22,Filled,69,36,12,1,1,41,Employee Referral
R500230,1,1004,3,2023-01-30,2023-03-07,Filled,59,25,9,1,1,36,Employee Referral
R500231,3,1014,4,2023-03-06,2023-03-18,Filled,71,36,10,3,1,12,LinkedIn
R500232,3,1014,5,2023-02-07,2023-03-02,Filled,34,14,4,1,1,23,Career Fair
R500233,3,1014,5,2023-02-25,2023-03-27,Filled,62,32,12,2,1,30,Company Website
R500234,5,1024,6,2023-01-08,2023-03-03,Filled,48,17,5,1,1,54,Company Website
R500235,5,1025,5,2023-01-26,2023-03-07,Filled,68,36,9,2,1,40,Employee Referral
R500236,1,1000,5,2023-03-22,2023-04-27,Filled,41,20,7,1,1,36,University Recruiting
R500237,1,1004,2,2023-03-09,2023-04-14,Filled,32,13,4,1,1,36,Company Website
R500238,2,1008,2,2023-03-20,2023-04-20,Filled,55,24,8,2,1,31,Job Board
R500239,3,1014,2,2023-03-16,2023-04-01,Filled,47,22,6,1,1,16,Career Fair
R500240,3,1015,2,2023-03-23,2023-04-14,Filled,9,4,1,1,1,22,Employee Referral
R500241,3,1013,2,2023-02-25,2023-04-18,Filled,59,23,6,1,1,52,Recruiting Agency
R500242,4,1020,4,2023-03-30,2023-04-25,Filled,8,3,1,1,1,26,Recruiting Agency
R500243,4,1023,1,2023-03-23,2023-04-20,Filled,87,40,17,3,1,28,LinkedIn
R500244,9,1046,4,2023-03-14,2023-04-24,Filled,67,30,8,2,1,41,University Recruiting
R500245,10,1052,2,2023-02-22,2023-04-07,Filled,59,25,11,3,1,44,Job Board
R500246,1,1007,3,2023-04-20,2023-05-26,Filled,22,9,3,1,1,36,Company Website
R500247,2,1012,4,2023-03-26,2023-05-01,Filled,17,6,1,1,1,36,Job Board
R500248,2,1011,5,2023-05-09,2023-05-22,Filled,30,10,2,1,1,13,Company Website
R500249,3,1013,5,2023-02-23,2023-05-05,Filled,52,28,8,1,1,71,University Recruiting
R500250,3,1015,4,2023-04-01,2023-05-02,Filled,94,39,13,2,1,31,Recruiting Agency
R500251,3,1016,6,2023-04-11,2023-05-25,Filled,51,20,7,1,1,44,Job Board
R500252,3,1013,1,2023-03-29,2023-05-19,Filled,52,24,6,1,1,51,Job Board
R500253,4,1022,5,2023-04-25,2023-05-15,Filled,54,29,11,3,1,20,Company Website
R500254,4,1019,5,2023-04-13,2023-05-24,Filled,41,22,6,1,1,41,Company Website
R500255,5,1027,5,2023-04-07,2023-05-01,Filled,58,31,12,4,1,24,Job Board
R500256,5,1025,4,2023-03-21,2023-05-03,Filled,66,31,11,1,1,43,Career Fair
R500257,5,1024,1,2023-04-06,2023-05-16,Filled,79,41,17,5,1,40,Recruiting Agency
R500258,10,1052,1,2023-03-21,2023-05-01,Filled,31,15,6,1,1,41,Employee Referral
R500259,1,1001,3,2023-05-20,2023-06-26,Filled,71,31,9,1,1,37,Recruiting Agency
R500260,1,1006,1,2023-05-25,2023-06-28,Filled,81,39,16,5,1,34,LinkedIn
R500261,3,1013,1,2023-04-23,2023-06-05,Filled,32,11,3,1,1,43,Recruiting Agency
R500262,3,1013,2,2023-05-24,2023-06-21,Filled,63,33,9,3,1,28,Recruiting Agency
R500263,3,1016,4,2023-06-03,2023-06-28,Filled,56,21,7,1,1,25,Employee Referral
R500264,3,1015,1,2023-05-21,2023-06-13,Filled,26,12,4,1,1,23,Company Website
R500265,3,1015,1,2023-05-20,2023-06-24,Filled,31,14,4,1,1,35,University Recruiting
R500266,4,1020,2,2023-05-16,2023-06-25,Filled,67,35,11,1,1,40,Job Board
R500267,4,1022,1,2023-04-20,2023-06-01,Filled,65,28,12,2,1,42,LinkedIn
R500268,5,1024,5,2023-05-22,2023-06-14,Filled,40,20,7,2,1,23,Company Website
R500269,5,1024,5,2023-05-17,2023-06-18,Filled,32,16,6,1,1,32,Job Board
R500270,5,1025,1,2023-04-24,2023-06-06,Filled,42,18,4,1,1,43,Job Board
R500271,5,1028,2,2023-06-04,2023-06-17,Filled,38,14,5,1,1,13,LinkedIn
R500272,5,1025,1,2023-05-08,2023-06-23,Filled,44,22,6,1,1,46,Career Fair
R500273,10,1049,2,2023-04-27,2023-06-05,Filled,15,7,1,1,1,39,Career Fair
R500274,1,1001,5,2023-05-22,2023-07-08,Filled,63,29,10,1,1,47,Recruiting Agency
R500275,1,1002,5,2023-07-11,2023-07-24,Filled,33,14,4,1,1,13,Recruiting Agency
R500276,2,1012,4,2023-06-22,2023-07-26,Filled,26,11,4,1,1,34,Company Website
R500277,3,1018,4,2023-06-03,2023-07-12,Filled,41,21,9,2,1,39,Career Fair
R500278,5,1027,1,2023-07-05,2023-07-27,Filled,16,6,2,1,1,22,LinkedIn
R500279,5,1025,5,2023-06-09,2023-07-24,Filled,77,31,7,1,1,45,Company Website
R500280,1,1006,1,2023-07-19,2023-08-18,Filled,60,28,10,2,1,30,Career Fair
R500281,1,1007,2,2023-07-13,2023-08-12,Filled,22,11,4,1,1,30,Career Fair
R500282,2,1012,2,2023-06-14,2023-08-05,Filled,33,11,4,1,1,52,Job Board
R500283,3,1013,1,2023-07-03,2023-08-02,Filled,40,17,6,1,1,30,Company Website
R500284,3,1014,2,2023-07-14,2023-08-25,Filled,41,17,6,1,1,42,Career Fair
R500285,3,1018,2,2023-07-10,2023-08-19,Filled,69,35,13,2,1,40,Company Website
R500286,5,1024,5,2023-08-10,2023-08-21,Filled,51,27,9,1,1,11,Employee Referral
R500287,5,1026,1,2023-07-27,2023-08-19,Filled,26,10,2,1,1,23,Employee Referral
R500288,6,1031,5,2023-07-15,2023-08-17,Filled,38,15,4,1,1,33,Recruiting Agency
R500289,6,1031,2,2023-06-07,2023-08-13,Filled,42,18,7,1,1,67,Employee Referral
R500290,6,1031,4,2023-08-13,2023-08-23,Filled,35,12,3,1,1,10,Company Website
