TerminationID,EmployeeID,TerminationDate,DepartmentKey,JobKey,LocationKey,TerminationType,TerminationReason,TenureMonthsAtExit,RegrettedLoss
98,E100154,2022-02-25,2,1008,2,Voluntary,Return to Education,23.4,False
99,E100268,2022-02-14,3,1016,5,Involuntary,Performance,42.1,False
100,E100270,2022-02-24,3,1018,1,Voluntary,Better Opportunity,36.9,True
101,E100522,2022-02-19,7,1037,5,Voluntary,Retirement,17.2,False
102,E100204,2022-03-23,3,1017,2,Voluntary,Retirement,24.2,True
103,E100217,2022-03-07,3,1014,2,Voluntary,Did Not Return from Leave,14.4,False
104,E100245,2022-03-08,3,1013,1,Involuntary,Performance,38.9,False
105,E100250,2022-03-03,3,1017,1,Involuntary,Performance,105.2,False
106,E100663,2022-03-09,3,1015,1,Voluntary,Relocation,9.4,False
107,E100352,2022-03-21,4,1019,4,Voluntary,Did Not Return from Leave,39.7,False
108,E100745,2022-03-06,5,1026,2,Voluntary,Career Change,1.7,False
109,E100487,2022-03-20,6,1029,2,Involuntary,Performance,20.2,False
110,E100124,2022-04-02,1,1005,1,Voluntary,Career Change,41.3,False
111,E100283,2022-04-25,3,1018,5,Voluntary,Relocation,20.2,False
112,E100405,2022-04-14,5,1025,1,Involuntary,Policy Violation,19.5,False
113,E100451,2022-04-27,5,1027,1,Voluntary,Better Opportunity,27.7,True
114,E100491,2022-04-26,6,1033,3,Voluntary,Personal Reasons,84.8,True
115,E100553,2022-04-16,9,1045,1,Voluntary,Did Not Return from Leave,31.7,True
116,E100040,2022-05-09,1,1000,5,Voluntary,Retirement,19.5,True
117,E100347,2022-05-13,4,1019,1,Voluntary,Personal Reasons,24.7,False
118,E100713,2022-05-13,5,1028,3,Voluntary,Retirement,5.8,True
119,E100555,2022-05-01,9,1047,3,Voluntary,Personal Reasons,109.8,False
120,E100144,2022-06-26,2,1011,5,Voluntary,Compensation,22.6,True
121,E100162,2022-06-06,2,1011,3,Involuntary,Policy Violation,27.5,False
122,E100188,2022-06-24,3,1017,4,Voluntary,Relocation,94.6,False
123,E100236,2022-06-26,3,1013,4,Involuntary,Restructuring,34.8,False
124,E100240,2022-06-16,3,1013,1,Voluntary,Did Not Return from Leave,53.1,True
125,E100293,2022-06-12,3,1013,3,Voluntary,Compensation,27.1,False
126,E100763,2022-06-12,3,1013,1,Involuntary,Position Eliminated,2.9,False
127,E100419,2022-06-21,5,1024,1,Involuntary,Policy Violation,25.9,False
128,E100674,2022-06-27,5,1024,2,Voluntary,Relocation,12.8,True
129,E100515,2022-06-21,7,1037,1,Voluntary,Did Not Return from Leave,81.7,False
130,E100568,2022-06-18,9,1044,1,Voluntary,Did Not Return from Leave,19.2,False
131,E100589,2022-06-26,9,1044,5,Involuntary,Performance,23.9,False
132,E100031,2022-07-25,1,1005,3,Involuntary,Restructuring,100.5,False
133,E100210,2022-07-07,3,1013,1,Involuntary,Policy Violation,19.3,False
134,E100247,2022-07-11,3,1013,1,Involuntary,Policy Violation,29.1,False
135,E100291,2022-07-22,3,1013,2,Voluntary,Did Not Return from Leave,34.1,False
136,E100363,2022-07-28,4,1019,4,Voluntary,Did Not Return from Leave,114.5,False
137,E100465,2022-07-04,5,1025,4,Voluntary,Retirement,27.5,False
138,E100578,2022-07-07,9,1044,5,Involuntary,Position Eliminated,24.5,False
139,E100074,2022-08-08,1,1007,6,Voluntary,Did Not Return from Leave,54.4,False
140,E100132,2022-08-08,1,1007,4,Voluntary,Personal Reasons,67.2,False
141,E100168,2022-08-11,2,1012,1,Involuntary,Performance,30.2,False
142,E100279,2022-08-17,3,1013,2,Involuntary,Restructuring,28.1,False
143,E100306,2022-08-04,3,1017,4,Voluntary,Did Not Return from Leave,20.9,False
144,E100706,2022-08-07,3,1014,3,Voluntary,Personal Reasons,9.6,False
145,E100784,2022-08-15,3,1013,5,Voluntary,Personal Reasons,2.2,False
146,E100353,2022-08-01,4,1021,1,Voluntary,Retirement,62.2,False
147,E100371,2022-08-03,5,1024,4,Voluntary,Compensation,50.5,True
148,E100427,2022-08-23,5,1024,1,Voluntary,Relocation,37.3,False
149,E100570,2022-08-09,9,1044,2,Involuntary,Position Eliminated,24.1,False
150,E100613,2022-08-21,10,1052,3,Involuntary,Restructuring,56.9,False
151,E100676,2022-09-17,2,1010,3,Involuntary,Restructuring,13.9,False
152,E100643,2022-09-12,3,1018,5,Involuntary,Performance,18.7,False
153,E100376,2022-09-28,5,1026,4,Involuntary,Restructuring,70.4,False
154,E100776,2022-09-18,5,1026,1,Voluntary,Retirement,3.9,False
155,E100625,2022-09-10,10,1050,5,Voluntary,Better Opportunity,35.1,False
156,E100032,2022-10-12,1,1006,4,Voluntary,Personal Reasons,22.4,False
157,E100075,2022-10-02,1,1004,4,Voluntary,Personal Reasons,74.8,True
158,E100213,2022-10-19,3,1014,2,Voluntary,Did Not Return from Leave,30.0,True
159,E100328,2022-10-22,4,1019,3,Voluntary,Compensation,39.3,True
160,E100818,2022-10-07,5,1024,1,Involuntary,Restructuring,0.5,False
161,E100261,2022-11-16,3,1016,1,Voluntary,Career Change,39.8,False
162,E100449,2022-11-03,5,1028,5,Voluntary,Did Not Return from Leave,26.2,False
163,E100771,2022-11-24,5,1024,1,Involuntary,Performance,7.0,False
164,E100796,2022-11-27,5,1028,2,Involuntary,Policy Violation,4.9,False
165,E100478,2022-11-15,6,1030,5,Voluntary,Better Opportunity,23.4,False
166,E100579,2022-11-19,9,1048,1,Voluntary,Did Not Return from Leave,33.9,False
167,E100582,2022-11-19,9,1045,5,Voluntary,Retirement,38.0,True
168,E100614,2022-11-03,10,1051,1,Voluntary,Relocation,74.9,False
169,E100620,2022-11-06,10,1053,1,Involuntary,Performance,31.2,False
170,E100659,2022-11-16,10,1049,1,Voluntary,Retirement,19.3,False
171,E100122,2022-12-03,1,1006,5,Voluntary,Compensation,39.4,False
172,E100774,2022-12-13,1,1000,1,Voluntary,Retirement,7.1,False
173,E100811,2022-12-12,1,1004,5,Voluntary,Better Opportunity,2.6,False
174,E100733,2022-12-16,2,1009,2,Voluntary,Personal Reasons,11.2,False
175,E100223,2022-12-25,3,1018,4,Involuntary,Position Eliminated,33.7,False
176,E100284,2022-12-15,3,1014,6,Voluntary,Personal Reasons,31.1,True
177,E100358,2022-12-27,4,1019,5,Voluntary,Retirement,38.1,False
178,E100434,2022-12-21,5,1024,1,Voluntary,Did Not Return from Leave,36.8,False
179,E100016,2023-01-12,1,1000,5,Involuntary,Restructuring,44.6,False
180,E100810,2023-01-05,1,1007,2,Voluntary,Compensation,3.4,False
181,E100762,2023-01-25,3,1018,4,Voluntary,Did Not Return from Leave,10.8,True
182,E100814,2023-01-10,3,1017,6,Voluntary,Career Change,4.3,False
183,E100426,2023-01-28,5,1026,5,Voluntary,Personal Reasons,37.1,False
184,E100689,2023-01-15,5,1026,1,Voluntary,Compensation,17.5,False
185,E100061,2023-02-01,1,1000,1,Voluntary,Compensation,27.8,False
186,E100066,2023-02-21,1,1001,5,Voluntary,Personal Reasons,114.2,True
187,E100693,2023-02-18,1,1000,3,Voluntary,Personal Reasons,16.9,False
188,E100169,2023-02-26,2,1008,5,Voluntary,Relocation,29.2,False
189,E100218,2023-02-18,3,1016,1,Voluntary,Compensation,40.4,False
190,E100234,2023-02-15,3,1017,6,Involuntary,Performance,28.5,False
191,E100813,2023-02-27,3,1017,1,Voluntary,Compensation,5.0,True
192,E100386,2023-02-27,5,1027,6,Voluntary,Did Not Return from Leave,45.9,True
193,E100600,2023-02-08,10,1050,1,Voluntary,Return to Education,34.6,True
194,E100630,2023-02-16,10,1052,2,Involuntary,Performance,31.8,False
195,E100256,2023-03-17,3,1013,5,Voluntary,Did Not Return from Leave,32.6,True
196,E100736,2023-03-01,3,1014,3,Voluntary,Return to Education,13.4,False
197,E100759,2023-03-17,3,1015,4,Voluntary,Did Not Return from Leave,13.4,False
198,E100770,2023-03-19,3,1013,4,Involuntary,Performance,11.2,False
199,E100743,2023-03-13,4,1019,4,Voluntary,Return to Education,13.8,True
200,E100377,2023-03-03,5,1026,4,Voluntary,Did Not Return from Leave,64.6,False
201,E100436,2023-03-24,5,1027,4,Voluntary,Personal Reasons,32.4,True
202,E100766,2023-03-13,5,1027,1,Involuntary,Position Eliminated,12.3,False
203,E100093,2023-04-01,1,1006,1,Involuntary,Policy Violation,58.0,False
204,E100183,2023-04-26,2,1011,6,Voluntary,Did Not Return from Leave,64.5,False
205,E100252,2023-04-19,3,1018,1,Involuntary,Restructuring,48.3,False
206,E100265,2023-04-09,3,1013,2,Voluntary,Career Change,50.8,True
207,E100669,2023-04-08,3,1014,1,Involuntary,Performance,21.7,False
208,E100333,2023-04-06,4,1023,4,Voluntary,Did Not Return from Leave,96.2,True
209,E100672,2023-04-18,4,1020,1,Voluntary,Did Not Return from Leave,22.1,False
210,E100778,2023-04-02,8,1042,3,Voluntary,Better Opportunity,10.3,False
211,E100752,2023-04-12,10,1052,2,Involuntary,Policy Violation,14.8,False
212,E100143,2023-05-14,2,1008,5,Involuntary,Policy Violation,39.8,False
213,E100209,2023-05-15,3,1016,6,Involuntary,Performance,46.0,False
214,E100272,2023-05-19,3,1015,2,Voluntary,Retirement,71.9,False
215,E100282,2023-05-02,3,1016,4,Voluntary,Personal Reasons,57.7,True
216,E100656,2023-05-06,3,1013,3,Voluntary,Retirement,24.3,True
217,E100769,2023-05-25,3,1016,5,Voluntary,Career Change,12.9,True
218,E100323,2023-05-14,4,1022,6,Voluntary,Did Not Return from Leave,88.4,False
219,E100817,2023-05-01,4,1020,1,Involuntary,Policy Violation,7.9,False
220,E100379,2023-05-17,5,1024,4,Involuntary,Position Eliminated,36.3,False
221,E100400,2023-05-20,5,1027,6,Involuntary,Restructuring,45.9,False
222,E100650,2023-05-08,5,1026,1,Involuntary,Policy Violation,25.8,False
223,E100714,2023-05-16,5,1024,2,Voluntary,Compensation,17.5,False
224,E100854,2023-05-09,5,1024,1,Voluntary,Better Opportunity,3.6,False
225,E100488,2023-05-12,6,1029,5,Voluntary,Better Opportunity,45.8,False
226,E100843,2023-05-16,9,1048,1,Involuntary,Policy Violation,5.1,False
227,E100844,2023-05-02,10,1051,1,Voluntary,Return to Education,4.2,False
228,E100101,2023-06-15,1,1003,4,Voluntary,Retirement,36.1,False
229,E100731,2023-06-22,1,1000,1,Voluntary,Did Not Return from Leave,17.4,True
230,E100790,2023-06-21,1,1006,5,Voluntary,Compensation,11.3,True
231,E100160,2023-06-14,2,1012,5,Voluntary,Compensation,43.5,False
232,E100257,2023-06-14,3,1018,4,Involuntary,Performance,62.2,False
233,E100815,2023-06-23,3,1017,4,Voluntary,Did Not Return from Leave,9.1,False
234,E100327,2023-06-20,4,1020,2,Involuntary,Position Eliminated,31.8,False
235,E100644,2023-06-02,4,1021,1,Voluntary,Did Not Return from Leave,27.9,True
236,E100372,2023-06-25,5,1028,5,Voluntary,Relocation,75.9,False
237,E100411,2023-06-25,5,1028,1,Voluntary,Better Opportunity,84.5,False
238,E100433,2023-06-11,5,1027,1,Involuntary,Position Eliminated,43.1,False
239,E100459,2023-06-11,5,1026,3,Voluntary,Did Not Return from Leave,38.4,False
240,E100723,2023-06-07,5,1025,6,Involuntary,Restructuring,18.1,False
241,E100834,2023-06-17,5,1027,2,Involuntary,Restructuring,7.1,False
242,E100838,2023-07-11,1,1000,4,Involuntary,Restructuring,6.5,False
243,E100849,2023-07-06,2,1008,6,Involuntary,Policy Violation,5.6,False
244,E100195,2023-07-16,3,1016,6,Involuntary,Restructuring,120.6,False
245,E100788,2023-07-17,9,1045,3,Voluntary,Retirement,13.2,True
246,E100048,2023-08-27,1,1007,1,Voluntary,Retirement,75.7,False
247,E100056,2023-08-21,1,1005,1,Involuntary,Position Eliminated,74.0,False
248,E100148,2023-08-14,2,1010,2,Voluntary,Career Change,59.1,False
249,E100225,2023-08-09,3,1014,4,Voluntary,Career Change,52.7,True
250,E100806,2023-08-15,3,1017,3,Voluntary,Return to Education,12.0,False
251,E100816,2023-08-26,3,1018,2,Involuntary,Restructuring,11.8,False
252,E100455,2023-08-14,5,1027,1,Voluntary,Did Not Return from Leave,55.4,False
253,E100760,2023-08-05,5,1025,3,Involuntary,Policy Violation,17.6,False
254,E100484,2023-08-03,6,1029,2,Involuntary,Restructuring,59.6,False
255,E100681,2023-08-28,10,1052,3,Involuntary,Performance,25.6,False
256,E100009,2023-09-18,1,1005,5,Voluntary,Did Not Return from Leave,35.9,False
257,E100041,2023-09-20,1,1000,1,Voluntary,Career Change,64.9,False
258,E100180,2023-09-10,2,1010,4,Involuntary,Performance,45.0,False
259,E100205,2023-09-12,3,1015,2,Involuntary,Restructuring,41.8,False
260,E100308,2023-09-23,3,1015,1,Voluntary,Career Change,55.5,False
261,E100696,2023-09-10,3,1017,3,Voluntary,Compensation,23.8,False
262,E100034,2023-10-08,1,1000,4,Voluntary,Return to Education,60.3,True
263,E100090,2023-10-12,1,1003,4,Voluntary,Better Opportunity,34.7,False
264,E100718,2023-10-22,1,1006,1,Voluntary,Personal Reasons,21.9,False
265,E100889,2023-10-25,3,1013,5,Involuntary,Position Eliminated,5.7,False
266,E100325,2023-10-06,4,1023,6,Voluntary,Retirement,128.5,True
267,E100906,2023-10-26,4,1020,2,Voluntary,Better Opportunity,4.0,True
268,E100437,2023-10-20,5,1028,2,Involuntary,Policy Violation,57.5,False
269,E100875,2023-10-19,5,1025,5,Voluntary,Return to Education,7.4,False
270,E100926,2023-10-25,5,1024,5,Voluntary,Return to Education,2.1,True
271,E100575,2023-10-10,9,1048,5,Voluntary,Return to Education,36.6,False
272,E100131,2023-11-06,1,1000,2,Voluntary,Compensation,38.1,False
273,E100229,2023-11-15,3,1014,4,Voluntary,Retirement,53.3,False
274,E100782,2023-11-19,3,1018,5,Voluntary,Retirement,17.0,False
275,E100697,2023-11-09,4,1020,5,Voluntary,Return to Education,26.0,True
276,E100404,2023-11-18,5,1024,2,Voluntary,Did Not Return from Leave,39.9,False
277,E100435,2023-11-25,5,1027,3,Voluntary,Compensation,50.1,True
278,E100958,2023-11-26,5,1028,6,Voluntary,Compensation,1.1,False
279,E100702,2023-11-27,6,1031,1,Involuntary,Restructuring,26.4,False
280,E100227,2023-12-01,3,1017,3,Voluntary,Did Not Return from Leave,98.4,False
281,E100791,2023-12-09,3,1018,4,Voluntary,Relocation,17.0,False
282,E100917,2023-12-12,3,1018,4,Voluntary,Personal Reasons,5.0,True
283,E100362,2023-12-09,4,1022,2,Voluntary,Relocation,48.5,False
284,E100507,2023-12-06,7,1037,4,Voluntary,Did Not Return from Leave,41.8,False
285,E100509,2023-12-08,7,1036,1,Involuntary,Position Eliminated,43.0,False
286,E100556,2023-12-07,9,1044,1,Involuntary,Performance,37.9,False
287,E100571,2023-12-24,9,1046,1,Involuntary,Policy Violation,76.6,False
288,E100596,2023-12-12,10,1053,6,Voluntary,Career Change,56.5,True
289,E100604,2023-12-02,10,1053,1,Involuntary,Policy Violation,78.1,False
290,E100753,2023-12-09,10,1049,1,Voluntary,Personal Reasons,22.4,True
291,E100086,2024-01-03,1,1000,5,Voluntary,Relocation,44.4,False
292,E100302,2024-01-14,3,1017,3,Involuntary,Policy Violation,81.9,False
293,E100924,2024-01-05,3,1014,2,Voluntary,Compensation,4.4,False
294,E100374,2024-01-02,5,1024,4,Involuntary,Policy Violation,50.7,False
295,E100798,2024-01-03,5,1026,5,Voluntary,Did Not Return from Leave,17.5,True
296,E100516,2024-01-11,7,1035,3,Involuntary,Restructuring,63.3,False
297,E100521,2024-01-10,7,1035,4,Voluntary,Return to Education,46.7,False
298,E100523,2024-01-24,7,1038,4,Voluntary,Did Not Return from Leave,62.1,False
299,E100651,2024-01-13,8,1041,3,Voluntary,Compensation,34.4,False
300,E100869,2024-01-25,10,1051,1,Voluntary,Did Not Return from Leave,11.1,False
301,E100082,2024-02-28,1,1006,2,Voluntary,Retirement,89.0,True
302,E100196,2024-02-24,3,1014,5,Voluntary,Did Not Return from Leave,96.1,False
303,E100276,2024-02-23,3,1018,1,Voluntary,Compensation,84.9,False
304,E100297,2024-02-02,3,1018,1,Voluntary,Did Not Return from Leave,41.8,True
305,E100758,2024-02-20,3,1016,2,Voluntary,Better Opportunity,24.4,False
306,E100901,2024-02-14,3,1013,1,Voluntary,Career Change,8.3,True
307,E100923,2024-02-07,3,1013,1,Voluntary,Retirement,6.2,True
308,E100326,2024-02-05,4,1022,1,Voluntary,Did Not Return from Leave,48.7,False
309,E100391,2024-02-25,5,1026,3,Voluntary,Better Opportunity,49.7,False
310,E100748,2024-02-17,5,1025,1,Voluntary,Career Change,25.2,False
311,E100949,2024-02-16,10,1050,2,Voluntary,Return to Education,5.2,False
312,E100071,2024-03-11,1,1006,1,Voluntary,Did Not Return from Leave,49.3,True
313,E100682,2024-03-23,1,1004,1,Voluntary,Relocation,31.5,False
314,E100151,2024-03-23,2,1010,1,Voluntary,Better Opportunity,58.1,False
315,E100187,2024-03-22,3,1016,3,Voluntary,Career Change,88.8,False
316,E100316,2024-03-06,4,1023,3,Voluntary,Did Not Return from Leave,123.3,False
317,E100366,2024-03-20,4,1019,5,Involuntary,Restructuring,61.7,False
318,E100485,2024-03-16,6,1033,3,Voluntary,Compensation,80.6,False
319,E100193,2024-04-01,3,1016,5,Voluntary,Personal Reasons,43.5,False
320,E100505,2024-04-16,7,1039,5,Voluntary,Better Opportunity,79.1,False
321,E100622,2024-04-23,10,1051,5,Involuntary,Position Eliminated,42.8,False
322,E100027,2024-05-23,1,1000,3,Voluntary,Compensation,63.4,False
323,E100915,2024-05-18,1,1002,5,Voluntary,Relocation,9.8,False
324,E100722,2024-05-10,3,1013,5,Voluntary,Better Opportunity,28.4,True
325,E100903,2024-05-27,3,1016,4,Voluntary,Relocation,11.0,True
326,E100904,2024-05-28,3,1015,1,Voluntary,Return to Education,11.5,True
327,E100894,2024-05-13,4,1019,5,Voluntary,Did Not Return from Leave,11.7,False
328,E100645,2024-05-09,5,1027,1,Involuntary,Position Eliminated,38.7,False
329,E100747,2024-05-22,5,1025,5,Involuntary,Policy Violation,28.2,False
330,E100908,2024-05-20,5,1024,5,Voluntary,Did Not Return from Leave,11.2,False
331,E100532,2024-05-12,7,1039,1,Involuntary,Restructuring,112.9,False
332,E100628,2024-05-09,10,1052,2,Voluntary,Career Change,82.7,False
333,E100115,2024-06-01,1,1001,4,Voluntary,Career Change,65.1,False
334,E100120,2024-06-15,1,1001,1,Voluntary,Did Not Return from Leave,43.1,True
335,E100812,2024-06-10,2,1011,6,Voluntary,Compensation,21.2,False
336,E100922,2024-06-24,2,1012,2,Voluntary,Career Change,10.6,True
337,E100269,2024-06-04,3,1018,5,Voluntary,Relocation,53.3,False
338,E100287,2024-06-19,3,1013,1,Voluntary,Did Not Return from Leave,49.1,False
339,E100991,2024-06-08,3,1013,2,Voluntary,Compensation,3.9,False
340,E100679,2024-06-19,5,1028,2,Voluntary,Better Opportunity,34.8,False
341,E100842,2024-06-10,5,1028,5,Involuntary,Restructuring,17.4,False
342,E100493,2024-06-08,6,1033,2,Voluntary,Did Not Return from Leave,130.9,False
343,E100135,2024-07-22,1,1005,5,Involuntary,Position Eliminated,86.2,False
344,E100648,2024-07-02,3,1013,2,Involuntary,Performance,39.6,False
345,E100832,2024-07-16,3,1014,1,Voluntary,Retirement,20.3,False
346,E100381,2024-07-27,5,1025,4,Voluntary,Did Not Return from Leave,52.0,True
347,E100394,2024-07-24,5,1024,2,Voluntary,Better Opportunity,58.5,True
348,E101020,2024-07-21,5,1025,2,Voluntary,Relocation,2.1,False
349,E101031,2024-07-18,5,1028,2,Voluntary,Career Change,0.9,True
350,E100594,2024-07-08,10,1050,4,Voluntary,Relocation,80.6,False
351,E100999,2024-07-17,10,1051,3,Voluntary,Relocation,4.8,True
352,E100063,2024-08-06,1,1001,5,Involuntary,Restructuring,65.5,False
353,E100073,2024-08-27,1,1004,1,Involuntary,Position Eliminated,62.4,False
354,E100112,2024-08-06,1,1006,5,Voluntary,Did Not Return from Leave,48.5,True
